text,category,severity
I am emotionally abused during pregnancy,Domestic Violence,Medium
He uses my children to control me,Domestic Violence,High
I am threatened that my children will be taken away,Domestic Violence,High
My spouse manipulates my children against me,Domestic Violence,Medium
I am prevented from meeting my children freely,Domestic Violence,High
He insults me in front of my children,Domestic Violence,Medium
I am forced to tolerate abuse for my children’s future,Domestic Violence,Medium
My husband threatens custody to silence me,Domestic Violence,High
I am pressured to stay silent for the children,Domestic Violence,Medium
He scares my children to control me,Domestic Violence,High
I am blamed for my child’s mistakes aggressively,Domestic Violence,Medium
My husband isolates me from relatives,Domestic Violence,Medium
I am not allowed to attend family events,Domestic Violence,Medium
He prevents me from speaking to neighbors,Domestic Violence,Medium
I am monitored whenever I leave the house,Domestic Violence,Medium
My spouse restricts my social interactions,Domestic Violence,Medium
I am forced to stay inside most of the time,Domestic Violence,Medium
He insults me publicly to embarrass me,Domestic Violence,Medium
I am denied participation in social gatherings,Domestic Violence,Low
My husband threatens me if I talk to others,Domestic Violence,High
I feel socially isolated due to his control,Domestic Violence,Medium
He threatens self-harm to manipulate me,Domestic Violence,Medium
I am constantly intimidated by his anger,Domestic Violence,Medium
My spouse breaks household items to scare me,Domestic Violence,High
I am threatened with violence during arguments,Domestic Violence,High
He stares at me aggressively to frighten me,Domestic Violence,Medium
I am warned not to report his behavior,Domestic Violence,High
My husband records private conversations to threaten me,Domestic Violence,Medium
I am told I will regret speaking up,Domestic Violence,High
He threatens my family members indirectly,Domestic Violence,High
I feel constant fear in my own home,Domestic Violence,High
My husband insults my appearance daily,Domestic Violence,Low
I am mocked for my background,Domestic Violence,Low
He humiliates me over household tasks,Domestic Violence,Low
I am forced to apologize even when innocent,Domestic Violence,Low
My spouse spreads lies about my behavior,Domestic Violence,Medium
I am emotionally pressured to obey him,Domestic Violence,Medium
He threatens divorce repeatedly,Domestic Violence,Medium
I am compared negatively to his relatives,Domestic Violence,Low
My husband criticizes everything I do,Domestic Violence,Low
I feel emotionally trapped in the marriage,Domestic Violence,Medium
He controls what I wear daily,Domestic Violence,Medium
I am forced to change my lifestyle against my will,Domestic Violence,Medium
My husband decides who I can meet,Domestic Violence,Medium
I am denied privacy in my own room,Domestic Violence,Medium
He constantly checks my call history,Domestic Violence,Medium
I am questioned aggressively about small issues,Domestic Violence,Medium
My spouse demands obedience without discussion,Domestic Violence,Medium
I am pressured to give up personal hobbies,Domestic Violence,Low
He interferes in all personal decisions,Domestic Violence,Medium
I feel controlled in every aspect of life,Domestic Violence,Medium
My husband pushes me against walls during fights,Domestic Violence,High
I am hit when he loses his temper,Domestic Violence,High
He threatens to use weapons during arguments,Domestic Violence,High
I am injured during violent disputes,Domestic Violence,High
My spouse grabs my arms forcefully,Domestic Violence,High
I am locked in rooms during conflicts,Domestic Violence,High
He blocks the door to prevent me from leaving,Domestic Violence,High
I am shaken violently when we argue,Domestic Violence,High
My husband intimidates me physically,Domestic Violence,High
I fear serious physical harm,Domestic Violence,High
He withholds money to punish me,Domestic Violence,Medium
I am denied funds for children’s needs,Domestic Violence,High
My husband forces financial dependency,Domestic Violence,Medium
I am threatened if I ask for financial transparency,Domestic Violence,Medium
He hides my identity documents,Domestic Violence,High
I am not allowed access to joint accounts,Domestic Violence,High
My spouse takes loans without informing me,Domestic Violence,Medium
I am pressured to bring money from parents,Domestic Violence,Medium
He confiscates my earnings,Domestic Violence,Medium
I feel financially trapped,Domestic Violence,Medium
My husband blames me for family problems,Domestic Violence,Low
I am constantly accused without reason,Domestic Violence,Low
He uses silent treatment for days,Domestic Violence,Low
I am mentally stressed due to daily conflicts,Domestic Violence,Medium
My spouse insults my intelligence,Domestic Violence,Low
I am forced to tolerate insults,Domestic Violence,Low
He threatens to abandon me financially,Domestic Violence,Medium
I feel worthless due to repeated abuse,Domestic Violence,Medium
My husband discourages my career growth,Domestic Violence,Medium
I am pressured to quit my job,Domestic Violence,Medium
He forbids me from attending training programs,Domestic Violence,Medium
I am stopped from learning new skills,Domestic Violence,Low
My spouse prevents business activities,Domestic Violence,Medium
I am denied professional opportunities,Domestic Violence,Medium
He forces relocation to isolate me,Domestic Violence,Medium
I am pressured to avoid colleagues,Domestic Violence,Medium
My husband blocks career communication,Domestic Violence,Medium
I am discouraged from financial independence,Domestic Violence,Medium
He threatens to harm pets to scare me,Domestic Violence,High
I am frightened by his unpredictable behavior,Domestic Violence,High
My spouse threatens public humiliation,Domestic Violence,Medium
I am warned not to seek legal help,Domestic Violence,High
He pressures me to withdraw complaints,Domestic Violence,High
I am told police will not support me,Domestic Violence,Medium
My husband threatens social defamation,Domestic Violence,Medium
I am blackmailed emotionally,Domestic Violence,Medium
He threatens to ruin my reputation,Domestic Violence,Medium
I live in constant anxiety due to his aggression,Domestic Violence,High
My spouse isolates me during festivals,Domestic Violence,Medium
I am denied communication with siblings,Domestic Violence,Medium
He forces silence about family disputes,Domestic Violence,Medium
I am emotionally threatened daily,Domestic Violence,Medium
My husband uses fear as control,Domestic Violence,High
I am intimidated to obey him,Domestic Violence,Medium
He prevents me from filing complaints,Domestic Violence,High
I am pressured to withdraw from social life,Domestic Violence,Medium
My spouse humiliates me privately,Domestic Violence,Medium
I am constantly under psychological pressure,Domestic Violence,Medium
Someone hacked my social media and posted offensive content,Cyber Crime,High
I received threatening emails demanding money,Cyber Crime,High
My private chat screenshots were shared without consent,Cyber Crime,Medium
A fake profile is spreading false information about me,Cyber Crime,Medium
I am being cyberbullied on online forums,Cyber Crime,Medium
My photos were morphed and shared online,Cyber Crime,High
I am blackmailed to send money or secrets will be exposed,Cyber Crime,High
Someone keeps sending inappropriate video calls,Cyber Crime,Medium
My account was used to scam others,Cyber Crime,High
I am being tracked through unknown apps,Cyber Crime,High
My password was stolen and my data deleted,Cyber Crime,High
I receive abusive comments every time I post,Cyber Crime,Medium
Someone threatens to leak my private conversations,Cyber Crime,High
My device was infected with malware after a link,Cyber Crime,Medium
I am harassed through anonymous online messages,Cyber Crime,Medium
My bank details were misused after phishing,Cyber Crime,High
I am afraid because someone knows my home address,Cyber Crime,High
Fake news about me is circulating online,Cyber Crime,Medium
I was tricked into sharing confidential documents,Cyber Crime,High
My email was hacked and confidential data stolen,Cyber Crime,High
Someone keeps logging into my account without permission,Cyber Crime,Medium
I receive repeated OTP requests I did not initiate,Cyber Crime,Medium
A person is impersonating me online to scam people,Cyber Crime,High
My online exam account was hacked,Cyber Crime,Medium
Someone is spreading rumors about me through messages,Cyber Crime,Medium
I am being stalked on social media,Cyber Crime,Medium
My social media posts are edited and misused,Cyber Crime,High
I am threatened with leaking private photos,Cyber Crime,High
A stranger is blackmailing me using my personal data,Cyber Crime,High
My accounts are constantly attacked by hackers,Cyber Crime,High
Someone created a fake identity in my name,Cyber Crime,Medium
I am receiving phishing emails frequently,Cyber Crime,Medium
My confidential information is posted publicly,Cyber Crime,High
I was tricked into sharing OTPs and lost account access,Cyber Crime,High
Someone spreads false accusations about me online,Cyber Crime,Medium
My device was remotely accessed without consent,Cyber Crime,High
I feel unsafe due to continuous cyber threats,Cyber Crime,Medium
A stranger sends me threatening voice notes,Cyber Crime,High
My private emails were read without permission,Cyber Crime,High
Someone is tracking my location through apps,Cyber Crime,High
I am forced to click suspicious links under pressure,Cyber Crime,High
Someone posts personal information about me online,Cyber Crime,Medium
I am harassed through social media groups,Cyber Crime,Medium
My online identity is stolen,Cyber Crime,High
I receive threatening messages every day,Cyber Crime,High
My bank account was accessed without authorization,Cyber Crime,High
Someone is threatening to ruin my reputation online,Cyber Crime,Medium
My confidential documents were leaked,Cyber Crime,High
A stranger threatens me to post private information,Cyber Crime,High
My photos were uploaded without consent,Cyber Crime,High
I am harassed through multiple online platforms,Cyber Crime,Medium
Someone created fake posts about me,Cyber Crime,Medium
I receive spam threatening my personal safety,Cyber Crime,Medium
My social media was hacked and misused,Cyber Crime,High
Someone threatens my friends to influence me,Cyber Crime,Medium
I am stalked via online tracking apps,Cyber Crime,High
A hacker is blackmailing me using screenshots,Cyber Crime,High
I receive constant threatening emails,Cyber Crime,Medium
My identity is being impersonated online,Cyber Crime,Medium
Someone spreads rumors about my family online,Cyber Crime,Medium
I am pressured to share personal passwords,Cyber Crime,High
My online accounts are targeted daily,Cyber Crime,High
I am threatened with cyber defamation,Cyber Crime,High
Someone publishes my personal photos online,Cyber Crime,High
I am harassed with abusive comments online,Cyber Crime,Medium
My email password was stolen,Cyber Crime,High
Someone is threatening to expose private conversations,Cyber Crime,High
I am constantly monitored online,Cyber Crime,Medium
My account was hacked multiple times,Cyber Crime,High
Someone impersonates me to send malicious links,Cyber Crime,High
I receive repeated phishing attempts,Cyber Crime,Medium
My online identity is compromised,Cyber Crime,High
I am scared to post anything online,Cyber Crime,Medium
Someone threatens to leak my personal information,Cyber Crime,High
My photos are shared in fake profiles,Cyber Crime,High
I receive anonymous threatening messages,Cyber Crime,Medium
My confidential files were accessed illegally,Cyber Crime,High
Someone threatens to defame me online,Cyber Crime,High
I am blackmailed using my personal emails,Cyber Crime,High
A hacker stole sensitive data from me,Cyber Crime,High
Someone impersonates me to scam others,Cyber Crime,High
I am pressured to click unsafe links,Cyber Crime,Medium
My social accounts are used without permission,Cyber Crime,High
I receive fake messages in my name,Cyber Crime,Medium
My online posts are manipulated maliciously,Cyber Crime,Medium
Someone hacks my devices repeatedly,Cyber Crime,High
I am threatened through fake online profiles,Cyber Crime,High
My personal photos are used inappropriately,Cyber Crime,High
I am scared of online stalking,Cyber Crime,Medium
Someone threatens to hack my bank account,Cyber Crime,High
My confidential chat messages were exposed,Cyber Crime,High
I receive daily cyberbullying messages,Cyber Crime,Medium
Someone spreads false information about me online,Cyber Crime,Medium
I feel unsafe sharing personal info online,Cyber Crime,Medium
My accounts are hacked to harass me,Cyber Crime,High
I am threatened via anonymous social profiles,Cyber Crime,High
Someone misuses my online identity,Cyber Crime,High
I receive constant cyber threats at work,Cyber Crime,Medium
My private photos are being circulated online,Cyber Crime,High
Someone impersonates me to harm my reputation,Cyber Crime,High
I am blackmailed using personal data online,Cyber Crime,High
My devices are hacked without my knowledge,Cyber Crime,High
I receive malicious messages threatening me,Cyber Crime,Medium
Someone spreads rumors using my identity,Cyber Crime,Medium
I am pressured to share confidential information,Cyber Crime,High
My email account is repeatedly hacked,Cyber Crime,High
I feel threatened due to online harassment,Cyber Crime,Medium
Someone threatens my family using online accounts,Cyber Crime,High
My private files are shared illegally,Cyber Crime,High
I am constantly attacked by hackers,Cyber Crime,High
Someone impersonates me on social platforms,Cyber Crime,High
I am scared of online blackmail,Cyber Crime,High
My social media is misused to defame me,Cyber Crime,High
Someone steals personal info to threaten me,Cyber Crime,High
I am harassed with false online accusations,Cyber Crime,Medium
My accounts are compromised repeatedly,Cyber Crime,High
Someone posts manipulated content using my identity,Cyber Crime,High
I am threatened through fake emails,Cyber Crime,Medium
My photos are misused on social networks,Cyber Crime,High
Someone hacks my accounts for revenge,Cyber Crime,High
I am constantly monitored without consent,Cyber Crime,High
My private conversations are leaked,Cyber Crime,High
Someone threatens me using hacked data,Cyber Crime,High
I am blackmailed online daily,Cyber Crime,High
My social accounts are attacked repeatedly,Cyber Crime,High
Someone misuses my online identity to threaten others,Cyber Crime,High
I feel unsafe posting online due to threats,Cyber Crime,Medium
My personal emails are used to harm me,Cyber Crime,High
Someone sends threats in my name,Cyber Crime,High
I am afraid of cyber fraud targeting me,Cyber Crime,High
My devices are compromised remotely,Cyber Crime,High
Someone spreads manipulated messages online,Cyber Crime,Medium
I am threatened to share sensitive info,Cyber Crime,High
My online posts are used against me,Cyber Crime,Medium
Someone misuses my identity to harm reputation,Cyber Crime,High
I am constantly harassed via social networks,Cyber Crime,Medium
My private accounts are accessed illegally,Cyber Crime,High
Someone threatens me using fake online profiles,Cyber Crime,High
I am blackmailed using hacked personal files,Cyber Crime,High
My accounts are used to defame me,Cyber Crime,High
Someone spreads fake news about me online,Cyber Crime,Medium
I feel unsafe using digital platforms,Cyber Crime,Medium
My personal info is stolen and shared online,Cyber Crime,High
Someone hacks my accounts to manipulate me,Cyber Crime,High
I am pressured to give personal info online,Cyber Crime,Medium
My private chats are shared without consent,Cyber Crime,High
Someone misuses my identity to blackmail me,Cyber Crime,High
I am afraid to use online platforms,Cyber Crime,Medium
My social profiles are impersonated,Cyber Crime,High
Someone threatens to reveal personal info online,Cyber Crime,High
I feel constantly monitored on digital platforms,Cyber Crime,Medium
My accounts are repeatedly attacked by hackers,Cyber Crime,High
Someone sends fake threats pretending to be me,Cyber Crime,High
I am harassed online daily,Cyber Crime,Medium
My online data is stolen and misused,Cyber Crime,High
Someone impersonates me to scam people,Cyber Crime,High
I receive continuous threatening messages,Cyber Crime,High
My emails are accessed illegally,Cyber Crime,High
Someone spreads fake content using my identity,Cyber Crime,High
I am blackmailed online constantly,Cyber Crime,High
My accounts are attacked repeatedly for revenge,Cyber Crime,High
Someone threatens me using stolen personal data,Cyber Crime,High
I am harassed through fake social accounts,Cyber Crime,High
My devices are hacked to monitor me,Cyber Crime,High
Someone impersonates me to harm my reputation,Cyber Crime,High
I feel unsafe online due to constant threats,Cyber Crime,High
My private files are accessed and shared,Cyber Crime,High
Someone misuses my online identity for blackmail,Cyber Crime,High
I am constantly threatened on social media,Cyber Crime,High
My accounts are compromised repeatedly,Cyber Crime,High
My husband constantly threatens to abandon me if I do not obey him,Domestic Violence,High
I am emotionally blackmailed using my children to control my behavior,Domestic Violence,High
My supervisor makes inappropriate comments about my appearance,Workplace Harassment,Medium
A senior colleague pressures me to attend after-work social events,Workplace Harassment,Medium
I am excluded from important team meetings,Workplace Harassment,Medium
My manager threatens negative performance reviews if I complain,Workplace Harassment,High
I receive personal messages from a superior unrelated to work,Workplace Harassment,Medium
A coworker spreads rumors about my personal life,Workplace Harassment,Medium
I am denied training opportunities without explanation,Workplace Harassment,Low
My ideas are taken by colleagues and presented as their own,Workplace Harassment,Low
I am mocked during meetings for my suggestions,Workplace Harassment,Low
A senior employee constantly interrupts me during discussions,Workplace Harassment,Medium
My supervisor makes sexist jokes in front of the team,Workplace Harassment,Medium
I am asked personal questions that make me uncomfortable,Workplace Harassment,Low
A colleague touches me unnecessarily during work,Workplace Harassment,High
I feel intimidated by constant negative feedback,Workplace Harassment,Medium
My requests for leave are rejected without reason,Workplace Harassment,Low
I am assigned impossible deadlines to humiliate me,Workplace Harassment,Medium
A senior threatens demotion if I do not comply,Workplace Harassment,High
I am publicly criticized for mistakes that others make,Workplace Harassment,Medium
I feel isolated because coworkers avoid me intentionally,Workplace Harassment,Medium
My supervisor sends suggestive emojis in official chats,Workplace Harassment,Medium
I am pressured to tolerate offensive behavior to keep my job,Workplace Harassment,High
A coworker undermines my work to make me look incompetent,Workplace Harassment,Medium
I am forced to work overtime without consent,Workplace Harassment,Medium
My opinions are ignored in team decisions,Workplace Harassment,Low
A senior employee blocks my career growth,Workplace Harassment,Medium
I am denied recognition for my achievements,Workplace Harassment,Low
I receive constant criticism for minor errors,Workplace Harassment,Medium
My supervisor threatens job loss if I report harassment,Workplace Harassment,High
A colleague spreads false accusations about me,Workplace Harassment,Medium
I am made fun of for my gender by coworkers,Workplace Harassment,Medium
My supervisor uses intimidation to influence my decisions,Workplace Harassment,High
I am warned not to speak up about unfair treatment,Workplace Harassment,High
A colleague constantly stares at me uncomfortably,Workplace Harassment,Medium
I am asked to perform tasks outside my role repeatedly,Workplace Harassment,Medium
My suggestions are dismissed and credited to someone else,Workplace Harassment,Low
I am threatened with negative references if I complain,Workplace Harassment,High
A senior employee mocks my professional background,Workplace Harassment,Low
I feel unsafe reporting misconduct to HR,Workplace Harassment,High
I am forced to work in an uncomfortable environment,Workplace Harassment,Medium
My contributions are ignored in project meetings,Workplace Harassment,Low
A colleague spreads rumors about my family,Workplace Harassment,Medium
I am denied promotion despite good performance,Workplace Harassment,High
My supervisor pressures me to socialize outside work,Workplace Harassment,Medium
I am constantly interrupted in presentations,Workplace Harassment,Medium
A coworker teases me about my clothing choices,Workplace Harassment,Low
I am excluded from team communications intentionally,Workplace Harassment,Medium
My supervisor publicly criticizes my work,Workplace Harassment,Medium
I am warned of job loss if I do not comply with requests,Workplace Harassment,High
A colleague pressures me to do personal favors,Workplace Harassment,Medium
I feel stressed due to constant workplace intimidation,Workplace Harassment,Medium
My suggestions are belittled in meetings,Workplace Harassment,Low
A senior employee mocks me in front of others,Workplace Harassment,Low
I am threatened with demotion for raising concerns,Workplace Harassment,High
My manager ignores complaints about harassment,Workplace Harassment,High
A coworker constantly mocks my work style,Workplace Harassment,Medium
I am pressured to accept inappropriate behavior,Workplace Harassment,High
My ideas are dismissed in favor of male colleagues,Workplace Harassment,Medium
I am forced to tolerate offensive jokes,Workplace Harassment,Medium
A senior questions my competence unfairly,Workplace Harassment,Medium
I am warned to keep quiet about misconduct,Workplace Harassment,High
A colleague spreads false information about my projects,Workplace Harassment,Medium
I feel emotionally exhausted due to workplace bullying,Workplace Harassment,Medium
My supervisor asks personal questions about my family,Workplace Harassment,Low
I am pressured to work beyond office hours frequently,Workplace Harassment,Medium
A coworker mocks me for mistakes that are minor,Workplace Harassment,Medium
I am denied feedback that others receive,Workplace Harassment,Low
My contributions are ignored in front of clients,Workplace Harassment,Medium
A senior pressures me to accept inappropriate attention,Workplace Harassment,High
I am threatened with poor reviews if I refuse favors,Workplace Harassment,High
My supervisor blocks opportunities for career growth,Workplace Harassment,High
I feel unsafe due to sexual harassment at work,Workplace Harassment,High
A colleague spreads rumors about my personal life,Workplace Harassment,Medium
I am pressured to work in unsafe conditions,Workplace Harassment,High
My performance is criticized unfairly,Workplace Harassment,Medium
A senior mocks me for asking questions,Workplace Harassment,Low
I am constantly compared to other employees negatively,Workplace Harassment,Medium
My opinions are dismissed publicly,Workplace Harassment,Medium
A coworker intimidates me daily,Workplace Harassment,High
I am pressured to accept unequal treatment,Workplace Harassment,High
My supervisor makes inappropriate gestures,Workplace Harassment,High
I am denied work flexibility available to others,Workplace Harassment,Low
A colleague spreads rumors about my career,Workplace Harassment,Medium
I am threatened with negative consequences for complaints,Workplace Harassment,High
My supervisor isolates me from team discussions,Workplace Harassment,Medium
I am pressured to accept personal intrusions,Workplace Harassment,Medium
A senior employee mocks my abilities in meetings,Workplace Harassment,Low
I am denied mentorship opportunities,Workplace Harassment,Low
My manager humiliates me publicly,Workplace Harassment,Medium
I feel unsafe due to repeated intimidation,Workplace Harassment,High
A colleague spreads false accusations to damage my reputation,Workplace Harassment,Medium
I am forced to work under unfair pressure,Workplace Harassment,Medium
My ideas are stolen and credited to others,Workplace Harassment,Medium
I am pressured to perform tasks outside my role,Workplace Harassment,Medium
A senior employee pressures me for personal attention,Workplace Harassment,High
I am constantly monitored at work,Workplace Harassment,Medium
My supervisor criticizes minor mistakes excessively,Workplace Harassment,Medium
A coworker mocks me repeatedly,Workplace Harassment,Low
I feel mentally exhausted due to toxic behavior,Workplace Harassment,Medium
My contributions are dismissed while others are praised,Workplace Harassment,Medium
I am threatened for refusing inappropriate requests,Workplace Harassment,High
A senior employee intimidates me publicly,Workplace Harassment,High
I am denied recognition for achievements,Workplace Harassment,Low
I feel unsafe reporting harassment to HR,Workplace Harassment,High
A colleague pressures me to accept unfair treatment,Workplace Harassment,High
I am emotionally drained due to workplace bullying,Workplace Harassment,Medium
My manager refuses to address harassment complaints,Workplace Harassment,High
I am pressured to attend personal events unwillingly,Workplace Harassment,Medium
A coworker mocks me for being female,Workplace Harassment,Medium
I am constantly interrupted in discussions,Workplace Harassment,Medium
My work is criticized unfairly,Workplace Harassment,Medium
I feel socially isolated at work,Workplace Harassment,Medium
A senior threatens my job for refusing favors,Workplace Harassment,High
I am denied feedback on performance,Workplace Harassment,Low
My suggestions are ignored in meetings,Workplace Harassment,Low
A colleague intimidates me during projects,Workplace Harassment,Medium
I am pressured to comply with inappropriate requests,Workplace Harassment,High
My manager belittles me publicly,Workplace Harassment,Medium
I feel unsafe due to constant workplace threats,Workplace Harassment,High
A senior spreads false rumors about me,Workplace Harassment,Medium
I am denied professional growth opportunities,Workplace Harassment,High
My contributions are stolen by colleagues,Workplace Harassment,Medium
I feel constantly criticized,Workplace Harassment,Medium
A coworker pressures me to tolerate offensive jokes,Workplace Harassment,Medium
My supervisor uses fear to control me,Workplace Harassment,High
I am pressured to accept unequal treatment,Workplace Harassment,High
A colleague intimidates me during meetings,Workplace Harassment,Medium
I feel constantly monitored and evaluated,Workplace Harassment,Medium
My work is unfairly scrutinized,Workplace Harassment,Medium
I am forced to accept personal favors,Workplace Harassment,High
A senior threatens to damage my reputation,Workplace Harassment,High
I am pressured to work beyond my limits,Workplace Harassment,Medium
My contributions are ignored repeatedly,Workplace Harassment,Medium
I feel mentally exhausted due to repeated bullying,Workplace Harassment,Medium
My manager mocks my professional abilities,Workplace Harassment,Low
A colleague pressures me to accept harassment,Workplace Harassment,High
I am excluded from training opportunities,Workplace Harassment,Low
I am constantly intimidated by senior employees,Workplace Harassment,High
My opinions are ignored in official meetings,Workplace Harassment,Medium
I am pressured to accept inappropriate behavior,Workplace Harassment,High
A senior mocks me for small mistakes,Workplace Harassment,Low
I feel unsafe in my workplace due to harassment,Workplace Harassment,High
My in-laws demand more money than agreed at marriage,Dowry Harassment,High
I am insulted for not bringing enough jewelry,Dowry Harassment,Medium
My husband threatens to leave me if I do not bring more gifts,Dowry Harassment,High
I am forced to ask my parents for extra money repeatedly,Dowry Harassment,Medium
My in-laws taunt me daily about dowry,Dowry Harassment,Low
They demand expensive household items from my family,Dowry Harassment,High
I am emotionally pressured regarding property transfer,Dowry Harassment,High
My family is publicly embarrassed over dowry issues,Dowry Harassment,Medium
I am denied support unless additional gifts are provided,Dowry Harassment,High
My husband blames me for not fulfilling dowry expectations,Dowry Harassment,Medium
I am forced to sign property documents against my will,Dowry Harassment,High
My in-laws constantly compare me to wealthier daughters-in-law,Dowry Harassment,Medium
I am ridiculed for my family’s financial status,Dowry Harassment,Medium
My husband threatens divorce over dowry issues,Dowry Harassment,High
I am forced to sell family valuables to meet demands,Dowry Harassment,High
My in-laws criticize my parenting due to dowry,Dowry Harassment,Medium
I am pressured to bring cash or valuables monthly,Dowry Harassment,High
My husband insults my parents for not giving more dowry,Dowry Harassment,Medium
I am humiliated during family gatherings for dowry,Dowry Harassment,Medium
My in-laws restrict my access to household funds,Dowry Harassment,High
I am blamed for not bringing enough gold ornaments,Dowry Harassment,Medium
My husband threatens me with property loss,Dowry Harassment,High
I am forced to borrow money to meet dowry demands,Dowry Harassment,High
My in-laws make derogatory remarks about my education,Dowry Harassment,Medium
I feel emotionally trapped due to constant financial pressure,Dowry Harassment,Medium
My family is insulted if I cannot provide requested items,Dowry Harassment,Medium
I am pressured to give gifts to meet expectations,Dowry Harassment,Medium
My husband criticizes me for not bringing modern appliances,Dowry Harassment,Medium
I am constantly compared to wealthier relatives,Dowry Harassment,Medium
My in-laws demand lavish celebrations funded by my family,Dowry Harassment,High
I am forced to apologize to satisfy dowry expectations,Dowry Harassment,Medium
My husband threatens to send me back to my parents,Dowry Harassment,High
I am coerced into taking loans to meet dowry demands,Dowry Harassment,High
My in-laws insult me in front of guests,Dowry Harassment,Medium
I am threatened with legal issues over dowry claims,Dowry Harassment,High
My family is shamed publicly for not meeting demands,Dowry Harassment,Medium
I am pressured to buy expensive gifts repeatedly,Dowry Harassment,High
My husband constantly complains about my family’s contributions,Dowry Harassment,Medium
I am emotionally abused over dowry matters,Dowry Harassment,Medium
My in-laws blame me for financial inadequacy,Dowry Harassment,Medium
I am forced to work extra to meet monetary demands,Dowry Harassment,High
My husband threatens property seizure over dowry issues,Dowry Harassment,High
I am insulted for not bringing a car or vehicle,Dowry Harassment,Medium
My in-laws demand expensive clothing and accessories,Dowry Harassment,Medium
I feel helpless due to repeated dowry pressure,Dowry Harassment,Medium
My husband constantly reminds me of my parents’ inadequacy,Dowry Harassment,Medium
I am pressured to give money to relatives for dowry,Dowry Harassment,Medium
My in-laws insult my siblings for not contributing enough,Dowry Harassment,Medium
I am forced to hand over family assets,Dowry Harassment,High
My husband threatens me if I refuse financial demands,Dowry Harassment,High
I am publicly criticized for not bringing enough cash,Dowry Harassment,Medium
My in-laws insist on additional gifts every festival,Dowry Harassment,Medium
I am threatened with divorce for failing dowry expectations,Dowry Harassment,High
My husband pressures me to increase my family’s contribution,Dowry Harassment,Medium
I am forced to satisfy unreasonable demands repeatedly,Dowry Harassment,High
My in-laws insult my lifestyle choices for dowry,Dowry Harassment,Medium
I am constantly reminded of my family’s financial shortcomings,Dowry Harassment,Medium
My husband pressures me to secure extra money secretly,Dowry Harassment,High
I am coerced to give gifts to avoid conflicts,Dowry Harassment,Medium
My in-laws ridicule my profession for not earning enough,Dowry Harassment,Medium
I feel trapped due to continuous financial threats,Dowry Harassment,High
My husband insults me for not arranging lavish events,Dowry Harassment,Medium
I am pressured to provide gold or jewelry frequently,Dowry Harassment,High
My family is blamed publicly for financial insufficiency,Dowry Harassment,Medium
I am forced to meet additional expectations by relatives,Dowry Harassment,Medium
My husband constantly compares me to wealthier brides,Dowry Harassment,Medium
I am threatened with property or asset loss,Dowry Harassment,High
My in-laws demand expensive home renovations,Dowry Harassment,Medium
I am pressured to secure loans to satisfy demands,Dowry Harassment,High
My husband humiliates me for insufficient contributions,Dowry Harassment,Medium
I am coerced to fulfill unreasonable financial expectations,Dowry Harassment,High
My in-laws pressure me to provide luxury items,Dowry Harassment,Medium
I am forced to borrow money from relatives repeatedly,Dowry Harassment,High
My husband threatens me with legal complaints over dowry,Dowry Harassment,High
I am publicly shamed for my family’s financial inability,Dowry Harassment,Medium
My in-laws demand extravagant gifts on all occasions,Dowry Harassment,High
I am forced to meet their monetary demands secretly,Dowry Harassment,High
My husband pressures me to take loans for gifts,Dowry Harassment,High
I am ridiculed for not fulfilling family expectations,Dowry Harassment,Medium
My in-laws insult my education and family background,Dowry Harassment,Medium
I am pressured to satisfy dowry expectations continually,Dowry Harassment,High
My husband threatens me if I fail to meet demands,Dowry Harassment,High
I am forced to provide additional assets secretly,Dowry Harassment,High
My in-laws criticize my appearance for not bringing enough,Dowry Harassment,Medium
I am constantly coerced to give more money or gifts,Dowry Harassment,High
My husband pressures me to increase financial contributions,Dowry Harassment,High
I am publicly humiliated for failing dowry expectations,Dowry Harassment,Medium
My in-laws threaten social shame if demands are not met,Dowry Harassment,High
I am pressured to satisfy family expectations continually,Dowry Harassment,High
My husband constantly reminds me of financial obligations,Dowry Harassment,Medium
I am forced to borrow money to meet repeated demands,Dowry Harassment,High
My in-laws insult my family for not giving enough dowry,Dowry Harassment,Medium
I am coerced to give valuables repeatedly,Dowry Harassment,High
My husband threatens divorce if I fail dowry expectations,Dowry Harassment,High
I feel emotionally trapped due to dowry pressure,Dowry Harassment,Medium
My in-laws demand expensive household items repeatedly,Dowry Harassment,High
"I am pressured to provide gold, cash, and gifts",Dowry Harassment,High
My husband humiliates me for insufficient contributions,Dowry Harassment,Medium
I am forced to satisfy dowry demands continuously,Dowry Harassment,High
My in-laws ridicule my family for not giving enough money,Dowry Harassment,Medium
I am coerced to provide additional valuables secretly,Dowry Harassment,High
My husband threatens legal action for not fulfilling expectations,Dowry Harassment,High
I am publicly criticized for failing financial expectations,Dowry Harassment,Medium
My in-laws pressure me to give gifts regularly,Dowry Harassment,High
I am forced to borrow money repeatedly to satisfy dowry,Dowry Harassment,High
My husband pressures me to secure extra financial support,Dowry Harassment,High
I am emotionally blackmailed over monetary issues,Dowry Harassment,Medium
My in-laws insult my family for not giving enough gifts,Dowry Harassment,Medium
I am coerced to meet impossible financial demands,Dowry Harassment,High
My husband humiliates me publicly for insufficient dowry,Dowry Harassment,Medium
I am forced to give gifts secretly to satisfy family demands,Dowry Harassment,High
My in-laws pressure me to arrange extravagant celebrations,Dowry Harassment,High
